100 10000
65 68 12
54 84 57
35 69 4
35 40 38
25 54 15
25 15 31
23 90 51
15 20 66
0 65 75
47 25 49
49 66 19
75 59 97
5 37 55
17 49 63
7 33 99
45 6 23
50 74 61
90 57 89
29 92 78
74 98 74
66 12 83
64 51 12
59 47 36
4 85 71
87 52 0
36 43 85
4 31 91
99 60 24
72 46 20
44 19 98
21 86 45
18 23 16
76 18 2
5 3 13
1 21 98
0 62 29
69 98 7
94 21 5
57 16 70
54 26 95
24 2 49
95 80 93
96 4 55
74 88 39
34 96 95
51 24 3
18 50 16
33 42 47
36 13 27
99 90 76
50 83 44
30 86 68
96 44 73
83 16 83
98 92 12
0 96 65
37 84 43
23 10 79
28 21 74
97 84 25
28 4 60
43 91 19
1 37 17
74 52 88
40 5 97
3 25 82
49 13 32
53 12 96
19 42 82
51 70 15
17 13 24
56 30 70
27 14 32
86 13 84
82 86 69
14 72 39
89 1 98
26 42 16
43 30 77
44 71 20
7 70 80
80 97 93
29 28 19
54 76 79
61 99 79
53 8 97
13 22 5
94 88 76
2 25 16
71 30 60
59 66 6
40 98 41
67 12 46
51 36 50
25 88 83
16 29 92
71 10 78
53 81 17
39 90 74
16 59 6
97 37 47
99 67 43
70 71 24
56 34 56
37 96 53
98 17 55
48 93 7
7 40 84
34 6 65
12 23 79
47 33 19
14 92 18
8 24 64
86 92 29
21 48 26
29 31 77
51 92 90
94 0 20
91 34 65
86 52 59
68 73 1
63 12 17
87 66 85
9 36 76
19 25 67
62 8 21
52 4 85
97 39 72
66 30 62
29 39 24
33 69 85
77 8 57
36 14 45
32 66 72
22 91 11
38 41 89
36 32 87
96 74 0
23 2 70
73 89 24
31 36 85
28 55 86
1 12 46
21 96 36
42 45 71
46 62 68
33 54 31
39 94 7
20 83 17
37 20 30
16 75 19
99 40 51
79 7 75
48 94 16
28 32 75
73 32 5
41 0 8
63 48 9
76 32 60
0 40 48
4 72 92
19 90 59
33 96 17
81 27 77
47 98 51
27 22 81
30 18 79
69 6 52
31 26 65
91 57 13
57 12 88
99 12 57
64 74 53
43 68 56
68 27 65
91 83 12
46 70 27
9 45 51
40 97 7
55 2 44
85 44 17
25 63 51
85 5 8
86 13 31
69 51 37
40 52 53
70 16 26
19 91 92
99 56 24
22 77 12
88 0 54
46 52 36
54 65 68
86 21 3
60 17 77
61 60 11
72 90 21
50 79 3
78 55 64
10 28 44
65 15 15
7 38 77
48 12 26
32 0 13
14 84 83
19 82 4
74 17 19
33 57 99
70 50 46
37 52 1
71 87 82
30 53 87
17 70 23
74 15 16
46 42 66
50 54 14
93 26 35
8 4 79
25 50 41
38 65 11
1 84 92
9 94 61
87 42 36
16 79 72
99 63 33
8 87 32
94 32 68
4 91 39
57 33 98
72 71 20
35 20 12
20 58 14
11 81 91
41 14 86
8 52 18
22 2 44
98 48 54
18 53 44
86 64 49
17 49 0
98 45 23
88 7 68
91 73 18
64 61 56
62 14 83
64 52 7
17 13 11
44 53 36
71 26 27
89 37 33
23 76 54
59 73 7
59 1 41
63 16 49
44 49 86
62 41 51
32 16 93
58 29 84
93 51 97
51 45 39
53 74 69
0 24 10
31 23 0
91 13 19
56 18 72
64 52 17
57 62 4
60 99 59
48 63 48
20 3 83
15 33 13
86 17 45
52 14 67
